epoch,n_episodes,n_success,succ_rate,mean_loss,mean_policy_loss,mean_value_loss,mean_kl,mean_entropy,mean_reward,mean_advantage,mean_ratio,mean_clip_frac,elapsed_s
99,5000,1220,0.2440,-0.0103,-0.1910,0.4615,0.3188,8.1850,-0.5115,0.0000,1.0000,0.0000,3445.6
100,5000,1202,0.2404,-0.0396,-0.2317,0.4675,0.3703,7.8676,-0.5182,0.0000,1.0000,0.0000,2907.2
101,5000,1210,0.2420,0.1158,-0.0518,0.4667,0.1804,8.3786,-0.5152,0.0000,1.0000,0.0000,2100.9
102,5000,1172,0.2344,0.0326,-0.1226,0.4608,0.2056,9.5785,-0.5305,0.0000,1.0000,0.0000,2364.3
103,5000,1199,0.2398,0.0015,-0.1470,0.4388,0.2204,9.2933,-0.5200,0.0000,1.0000,0.0000,2419.9
104,5000,1210,0.2420,0.0337,-0.1485,0.4690,0.3044,8.2767,-0.5132,-0.0000,1.0000,0.0000,2202.0
105,5000,1189,0.2378,0.0520,-0.1370,0.4791,0.3047,8.1010,-0.5219,0.0000,1.0000,0.0000,2357.5
106,5000,1201,0.2402,0.0064,-0.1571,0.4527,0.2793,9.0729,-0.5187,0.0000,1.0000,0.0000,2490.3
107,5000,1203,0.2406,-0.0006,-0.1827,0.4536,0.3075,7.5415,-0.5183,-0.0000,1.0000,0.0000,2424.1
108,5000,1232,0.2464,0.1261,-0.0579,0.4723,0.3335,8.5519,-0.5061,0.0000,1.0000,0.0000,2253.7
109,5000,1214,0.2428,0.1012,-0.0747,0.4700,0.3449,9.3591,-0.5138,0.0000,1.0000,0.0000,2231.8
110,5000,1164,0.2328,0.0778,-0.0899,0.4635,0.2241,8.6426,-0.5334,-0.0000,1.0000,0.0000,2133.5
111,5000,1207,0.2414,0.1356,-0.0299,0.4484,0.2755,8.6259,-0.5142,-0.0000,1.0000,0.0000,2142.2
112,5000,1220,0.2440,-0.0123,-0.1858,0.4428,0.3690,8.4816,-0.5110,0.0000,1.0000,0.0000,2254.6
113,5000,1193,0.2386,0.1491,-0.0170,0.4571,0.2038,8.2837,-0.5223,0.0000,1.0000,0.0000,2163.0
114,5000,1216,0.2432,0.0922,-0.0935,0.4765,0.2774,8.0279,-0.5129,0.0000,1.0000,0.0000,2100.2
115,5000,1250,0.2500,0.0558,-0.1067,0.4529,0.2885,9.2765,-0.4995,0.0000,1.0000,0.0000,2079.1
116,5000,1199,0.2398,0.1778,0.0023,0.4475,0.3489,8.3209,-0.5198,0.0000,1.0000,0.0000,2219.3
117,5000,1210,0.2420,0.0614,-0.0937,0.4463,0.1839,8.6374,-0.5155,0.0000,1.0000,0.0000,2145.3
118,5000,1205,0.2410,0.1953,0.0281,0.4580,0.2361,8.5479,-0.5172,-0.0000,1.0000,0.0000,1609.5
119,5000,1252,0.2504,0.0270,-0.1389,0.4622,0.2924,9.4407,-0.4987,-0.0000,1.0000,0.0000,1496.1
120,5000,1199,0.2398,0.1932,0.0190,0.4602,0.3284,8.8814,-0.5198,-0.0000,1.0000,0.0000,1460.0
