epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
9,2944,2680,-0.1709,-0.5518,0.0454,5.7136,-0.2029,0.3481,3733.5
9,3264,2700,-0.0788,0.1006,0.1367,6.8317,-0.2700,0.3484,3765.7
9,3584,2720,-0.8744,-0.8843,0.4878,6.5907,-0.1980,0.3483,3798.6
9,3904,2740,0.1494,-0.3241,0.3938,6.2788,0.2009,0.3484,3829.7
9,4224,2760,-0.2135,-1.1085,0.3177,9.4302,-0.2514,0.3483,3861.3
9,4544,2780,-0.6044,-0.3794,0.4265,7.0090,0.0845,0.3486,3891.4
9,4864,2800,-0.0280,-0.3651,0.3720,8.4005,-0.2329,0.3486,3923.7
10,192,2820,0.3680,-0.7403,0.3066,5.8943,0.0959,0.3490,3956.8
10,512,2840,-0.1535,0.8958,0.3013,7.3464,-0.3117,0.3492,3989.7
10,832,2860,0.2007,-0.1195,0.1694,6.4562,-0.0872,0.3490,4019.5
10,1152,2880,-0.0375,-1.0721,0.1398,4.5581,-0.0532,0.3490,4050.5
10,1472,2900,-0.1375,-0.2303,0.1560,6.2330,-0.1037,0.3487,4080.5
10,1792,2920,-0.3067,0.2447,0.2437,7.8978,-0.2083,0.3485,4109.4
10,2112,2940,-0.1619,-1.6189,0.1267,6.8713,0.1088,0.3487,4138.9
10,2432,2960,0.0625,1.3497,0.1054,7.0924,-0.2755,0.3490,4168.2
10,2752,2980,0.6951,0.1255,0.1324,6.6857,-0.3310,0.3488,4197.0
10,3072,3000,-0.4721,-2.6379,0.1557,8.2666,0.1092,0.3486,4227.5
10,3392,3020,-0.0098,-0.2832,0.0982,6.1873,-0.0375,0.3484,4256.8
10,3712,3040,0.0712,-0.0227,0.1357,6.2038,-0.0445,0.3489,4288.7
10,4032,3060,0.2089,0.6954,0.0852,5.2572,-0.2613,0.3487,4321.1
10,4352,3080,-0.2702,-0.0660,0.0868,3.4666,-0.1649,0.3488,4351.4
10,4672,3100,-0.1026,1.6597,0.0932,5.7867,-0.1788,0.3488,4379.4
10,4992,3120,0.2510,-0.2053,0.0865,3.6769,-0.0085,0.3490,4408.4
11,320,3140,-0.5187,0.2220,0.1461,3.9764,-0.0807,0.3490,4440.1
11,640,3160,-0.3654,-0.9693,0.1598,5.6630,-0.1124,0.3491,4470.6
11,960,3180,0.1008,2.6403,0.0665,7.2393,-0.1870,0.3490,4500.1
11,1280,3200,0.0533,0.9518,0.0861,5.4289,-0.3482,0.3489,4531.0
11,1600,3220,-0.2293,-0.3111,0.3341,5.4021,0.0064,0.3490,4561.1
11,1920,3240,-0.3392,-0.3897,0.2015,4.4937,0.0013,0.3493,4589.3
11,2240,3260,0.1034,-1.6470,0.1774,5.8977,0.0784,0.3493,4618.1
11,2560,3280,0.6563,-0.2410,0.2698,4.8463,-0.1534,0.3492,4651.8
11,2880,3300,-0.3904,-0.4731,0.3247,7.1635,-0.1479,0.3493,4687.3
11,3200,3320,-0.0275,-0.8259,0.1287,4.9303,0.0353,0.3495,4722.9
11,3520,3340,-0.5067,-2.0334,0.1749,4.8311,0.0617,0.3494,4759.5
11,3840,3360,0.2775,-0.4427,0.1687,5.8272,-0.1703,0.3493,4797.6
11,4160,3380,-0.0134,-1.5617,0.0932,6.5759,-0.0868,0.3495,4832.0
11,4480,3400,-0.6610,-0.9255,0.0771,3.9878,0.0300,0.3497,4864.1
