epoch,episode,batch,loss,policy_loss,kl,entropy,avg_reward,succ_rate,elapsed_s
11,960,3180,0.3623,0.0909,0.3878,6.3259,-0.4114,0.3449,4045.4
11,1280,3200,-0.3208,0.4637,0.1471,5.5563,-0.1491,0.3449,4075.3
11,1600,3220,0.1935,-0.6952,0.2096,3.6865,-0.2239,0.3449,4104.5
11,1920,3240,0.0044,-0.0568,0.2768,3.0001,-0.1902,0.3451,4132.4
11,2240,3260,0.2179,-0.3084,0.2557,4.7691,-0.1522,0.3448,4158.5
11,2560,3280,0.2384,1.0068,0.0887,3.9831,-0.3993,0.3448,4188.2
11,2880,3300,-0.1770,0.4630,0.1389,6.4500,-0.1323,0.3449,4218.2
11,3200,3320,-0.1753,1.0137,0.1267,5.0621,-0.4532,0.3450,4249.7
11,3520,3340,0.1609,0.5961,0.2886,5.0361,-0.2451,0.3449,4280.4
11,3840,3360,0.5410,0.8137,0.1284,5.2455,-0.3894,0.3450,4310.6
11,4160,3380,-0.0125,0.1717,0.4999,7.1916,-0.2415,0.3450,4339.6
11,4480,3400,-0.2142,-0.0905,0.4318,3.8268,0.0125,0.3452,4368.3
11,4800,3420,0.1254,-0.3549,0.3330,4.5266,-0.2374,0.3454,4396.7
12,128,3440,0.4041,-0.7637,0.1993,6.3004,-0.6164,0.3453,4428.2
12,448,3460,0.0221,0.0734,0.3399,5.1104,-0.2304,0.3453,4462.5
12,768,3480,0.0487,-0.5152,0.1299,4.6044,-0.1030,0.3451,4495.2
12,1088,3500,-0.4107,0.0878,0.1119,4.0542,-0.6299,0.3448,4525.4
12,1408,3520,-0.1069,-0.4599,0.2265,7.1388,-0.2411,0.3448,4554.9
12,1728,3540,0.2585,0.7547,0.2158,5.0967,-0.3926,0.3445,4582.7
12,2048,3560,0.1837,0.4204,0.1026,4.7629,-0.3738,0.3444,4609.7
12,2368,3580,-0.1695,-0.6233,0.2035,4.8336,-0.2414,0.3444,4636.2
12,2688,3600,-0.1285,-1.4239,0.4005,4.9827,0.1134,0.3443,4664.4
12,3008,3620,-0.1758,-2.1905,0.2364,5.8393,0.2474,0.3441,4692.2
12,3328,3640,0.2975,-0.8835,0.1808,3.1929,-0.2018,0.3443,4721.5
12,3648,3660,0.2347,-0.4092,0.1371,4.6360,-0.3953,0.3444,4749.8
12,3968,3680,0.1557,1.6351,0.1282,5.0181,-0.7699,0.3444,4779.7
